Ticket No,Request ID,RequestorSeniority,FiledAgainst,TicketType,Severity,Priority,Max Day
47065,1387,2 - Regular,Access/Login,Issue,2 - Normal,,-1.0
41324,764,2 - Regular,Access/Login,Request,,High Priority,0.0
31126,1889,4 - Management,Systems,Req,1 - Minor,0 - Unassigned,1.0
23742,327,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,3.0
31346,512,1 - Junior,Systems,Request,,1 - Low,7.0
13406,33,4 - Management,Systems,Issue,1 - Minor,0 - Unassigned,2.0
14466,642,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
31650,558,1 - Junior,Hardware,Request,3 - Major,2 - Medium,29.0
20770,505,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5.0
30436,913,3 - Senior,,Request,2 - Normal,0 - Unassigned,9.0
6249,550,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,6.0
39696,162,2 - Regular,Software,Req,2 - Normal,3 - High,
42191,39,4 - Management,Systems,Request,2 - Normal,3 - High,8.0
12860,1003,4 - Management,Hardware,,2 - Normal,3 - High,30.0
17191,345,1 - Junior,,Request,2 - Normal,2 - Medium,20.0
32109,1216,3 - Senior,,,2 - Normal,0 - Unassigned,2.0
34706,1506,1 - Junior,Systems,Request,2 - Normal,1 - Low,19.0
21085,1278,4 - Management,Software,Issue,1 - Minor,0 - Unassigned,1.0
9333,415,3 - Senior,Systems,Request,,3 - High,9.0
20029,1341,2 - Regular,Hardware,Issue,2 - Normal,3 - High,7.0
26979,1214,4 - Management,Systems,Request,2 - Normal,3 - High,5.0
1956,194,4 - Management,Software,Issue,2 - Normal,3 - High,1.0
23583,1627,2 - Regular,Systems,Issue,2 - Normal,1 - Low,1.0
18229,382,3 - Senior,Software,,2 - Normal,3 - High,5.0
10055,1509,,Systems,Issue,2 - Normal,3 - High,
30877,11,2 - Regular,Software,Request,2 - Normal,3 - High,7.0
47902,142,,Systems,Request,2 - Normal,1 - Low,16.0
14574,574,2 - Regular,Access/Login,Request,,3 - High,0.0
14928,245,1 - Junior,Hardware,,2 - Normal,0 - Unassigned,29.0
7546,1039,,Systems,Issue,2 - Normal,3 - High,3.0
34695,1441,3 - Senior,,Issue,2 - Normal,2 - Medium,
43930,602,2 - Regular,,Request,2 - Normal,1 - Low,8.0
2186,1979,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,5.0
20525,641,2 - Regular,Software,Issue,,1 - Low,
44250,697,4 - Management,Systems,Issue,2 - Normal,,4.0
37748,526,4 - Management,Systems,Issue,2 - Normal,3 - High,3.0
28933,209,2 - Regular,Systems,Req,2 - Normal,0 - Unassigned,169.0
17858,643,1 - Junior,Software,Request,2 - Normal,2 - Medium,14.0
15966,1207,1 - Junior,Access/Login,Issue,2 - Normal,High Priority,1.0
34950,182,4 - Management,System,Issue,2 - Normal,3 - High,
645,1337,2 - Regular,Software,Req,3 - Major,3 - High,12.0
32853,45,2 - Regular,Access/Login,Request,2 - Normal,,1.0
38629,1820,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0.0
6293,732,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,252.0
44799,1286,4 - Management,Systems,Request,2 - Normal,3 - High,23.0
25940,778,1 - Junior,Systems,Req,,1 - Low,27.0
15962,1331,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0.0
6799,399,4 - Management,,Request,2 - Normal,3 - High,8.0
16947,576,3 - Senior,Systems,Issue,2 - Normal,0 - Unassigned,7.0
36468,275,2 - Regular,,Request,2 - Normal,,0.0
39267,977,2 - Regular,Systems,Request,2 - Normal,2 - Medium,
38558,1747,2 - Regular,Access/Login,Request,2 - Normal,,0.0
26881,145,2 - Regular,Software,Request,3 - Major,2 - Medium,18.0
39454,76,3 - Senior,Systems,Request,2 - Normal,3 - High,5.0
49776,1203,3 - Senior,Software,Request,2 - Normal,,5.0
49697,1134,2 - Regular,Access/Login,Issue,2 - Normal,0 - Unassigned,1.0
